Transaction_ID,Customer_ID,Customer_Age,Customer_Gender,Account_Balance,Account_Age_Months,Transaction_Amount,Average_Transaction_Amount,Transaction_Date,Transaction_Time,Time_Period,Location,Payment_Method,Device_Type,Merchant_Category,Transaction_Status,Daily_Transaction_Count,Weekly_Transaction_Count,Distance_From_Home_KM,Login_Attempts,Failed_Transactions_Last_24H,New_Device,International_Transaction,Card_Present,IP_Risk_Score,Risk_Level
TXN000027,CUST7704,27,Other,327512,171,15164.91,33604.02,27-12-2023,12:54,Afternoon,Bangalore,Debit Card,POS,Food,Success,15,24,102,5,2,Yes,Yes,Yes,79,Medium
TXN000028,CUST4338,39,Male,243867.65,32,70327.13,2878.94,25-04-2023,16:58,Afternoon,Hyderabad,Wallet,Web,Electronics,Success,15,15,184,6,4,Yes,Yes,No,82,High
TXN000029,CUST2217,69,Male,423548.94,31,76758.2,35692.23,11-05-2024,10:18,Morning,Mumbai,Credit Card,POS,Healthcare,Success,2,92,65,2,4,Yes,No,No,7,Medium
TXN000030,CUST6611,70,Female,291053.97,61,65047.12,16386.61,14-08-2023,15:27,Afternoon,Bangalore,Credit Card,POS,Grocery,Failed,9,85,18,6,0,No,No,Yes,35,Medium
TXN000031,CUST2836,69,Female,485357.63,91,54761.91,14196.52,12-04-2024,06:51,Morning,Kolkata,Credit Card,POS,Entertainment,Success,11,3,268,1,3,No,No,No,24,Medium
TXN000032,CUST5127,33,Other,22846.52,180,18112.92,18633,19-04-2024,03:26,Morning,Hyderabad,Net Banking,Mobile,Healthcare,Failed,6,60,4,5,5,Yes,No,No,68,Medium
TXN000033,CUST5726,63,Male,288642.38,2,73192.88,9489.78,12-10-2023,21:50,Night,Ahmedabad,UPI,Web,Shopping,Success,9,89,252,5,4,Yes,No,Yes,51,High
TXN000034,CUST6587,62,Male,208165.57,125,6841.64,33842.7,01-10-2025,14:59,Afternoon,Hyderabad,Debit Card,POS,Electronics,Success,4,4,140,6,1,No,Yes,No,53,Medium
TXN000035,CUST3002,37,Male,308784.09,144,43299.34,28171.08,13-10-2024,11:44,Morning,Coimbatore,Wallet,POS,Electronics,Failed,10,67,60,5,3,No,Yes,Yes,75,High
TXN000036,CUST5388,38,Female,190590.72,140,54435.63,48235.04,28-08-2025,01:14,Morning,Ahmedabad,UPI,ATM,Grocery,Success,5,55,145,3,4,No,Yes,No,42,Medium
TXN000037,CUST2913,18,Male,456240.12,58,36761.12,24287.36,05-04-2026,16:41,Afternoon,Pune,Credit Card,Mobile,Shopping,Success,8,8,124,4,2,No,No,Yes,64,Medium
TXN000038,CUST3234,54,Other,389999.69,127,63168.4,7731.3,12-10-2025,08:56,Morning,Mumbai,Net Banking,POS,Grocery,Success,5,80,271,5,3,No,Yes,Yes,33,Medium
TXN000039,CUST7875,58,Male,91529.59,106,4737.01,11464.25,27-02-2024,19:10,Evening,Ahmedabad,Wallet,Web,Electronics,Success,12,41,152,1,1,Yes,No,No,90,Medium
TXN000040,CUST9714,48,Male,211471.98,106,54987.71,31670.55,08-12-2023,20:46,Evening,Ahmedabad,UPI,Mobile,Entertainment,Success,15,43,206,3,2,No,No,Yes,45,Low
TXN000041,CUST9069,56,Other,289960.86,162,96008.26,11507.18,28-07-2024,00:18,Morning,Jaipur,UPI,ATM,Entertainment,Success,7,85,82,2,4,Yes,No,Yes,3,Medium
TXN000042,CUST3356,41,Other,293718.97,33,17545.67,11378.95,08-04-2023,11:02,Morning,Bangalore,Net Banking,POS,Shopping,Success,4,62,8,5,2,Yes,No,Yes,46,Low
TXN000043,CUST8458,62,Female,374112.57,26,85551.62,5185.36,24-12-2024,23:24,Night,Bangalore,Net Banking,ATM,Shopping,Success,11,14,228,5,4,No,No,Yes,68,High
TXN000044,CUST7492,64,Male,117587.14,31,38766.21,17784.27,30-04-2026,03:44,Morning,Hyderabad,Net Banking,Mobile,Food,Success,11,95,212,6,0,Yes,Yes,No,6,Medium
TXN000045,CUST9862,58,Other,127595.99,74,18138.84,18024.37,08-05-2024,01:50,Morning,Mumbai,Wallet,Web,Food,Success,13,2,180,5,0,No,Yes,Yes,91,Medium
TXN000046,CUST2801,61,Other,132196.59,164,26190.03,19751.82,20-05-2024,04:12,Morning,Mumbai,Net Banking,ATM,Entertainment,Success,20,51,260,1,5,Yes,No,No,71,Medium
TXN000047,CUST1033,38,Female,135042.23,156,29234.56,11670.32,08-11-2025,15:03,Afternoon,Hyderabad,Net Banking,Mobile,Entertainment,Success,19,1,179,4,0,Yes,No,Yes,100,Medium
TXN000048,CUST8616,61,Other,471856.31,36,66706.06,6459.09,09-02-2026,13:42,Afternoon,Kolkata,Wallet,POS,Healthcare,Success,10,20,237,2,2,No,Yes,No,42,Medium
TXN000049,CUST6714,33,Female,386629.97,48,412.12,8172.04,11-09-2025,03:55,Morning,Mumbai,Net Banking,Web,Electronics,Failed,4,89,22,1,0,Yes,Yes,No,68,Medium
TXN000050,CUST2072,69,Male,73270.49,144,25672.05,17173.68,07-05-2024,03:55,Morning,Chennai,Net Banking,Web,Grocery,Success,17,70,142,2,4,No,No,No,32,Low
TXN000051,CUST4588,46,Female,251531.38,136,51282.28,47246.27,04-07-2025,16:32,Afternoon,Kolkata,Wallet,ATM,Entertainment,Success,16,87,125,1,2,Yes,Yes,Yes,90,High
TXN000052,CUST6309,51,Female,384204.05,95,57531.98,46710.65,26-04-2024,22:49,Night,Mumbai,Net Banking,Web,Shopping,Success,9,90,295,4,0,Yes,No,Yes,62,High
TXN000053,CUST2187,30,Other,364298.83,127,40482.75,36115.04,11-04-2023,02:47,Morning,Coimbatore,UPI,ATM,Shopping,Success,17,67,251,3,0,No,Yes,Yes,20,Low
TXN000054,CUST3747,29,Other,58674.12,7,71181.79,2999.73,18-11-2024,02:59,Morning,Ahmedabad,Credit Card,Web,Shopping,Success,19,60,141,4,0,No,No,No,69,Medium
TXN000055,CUST7674,41,Female,479896.41,39,66411.2,8358.26,13-05-2024,17:26,Evening,Coimbatore,Wallet,POS,Healthcare,Success,16,86,179,3,3,No,Yes,Yes,2,Medium
TXN000056,CUST5297,48,Other,435570.94,158,54221.05,5426.64,29-08-2023,22:22,Night,Chennai,Net Banking,POS,Electronics,Success,10,15,47,1,4,Yes,No,Yes,56,High
TXN000057,CUST1418,52,Other,143356.62,34,38934.54,12458.79,07-04-2023,11:06,Morning,Ahmedabad,Credit Card,POS,Healthcare,Success,19,34,97,1,1,Yes,No,No,71,Medium
TXN000058,CUST2545,53,Male,466060.25,93,19902.33,44980.4,25-04-2025,02:35,Morning,Jaipur,Wallet,Mobile,Travel,Success,13,80,239,5,0,Yes,No,No,93,Medium
TXN000059,CUST8618,39,Male,144277.59,90,69829.79,22843.18,06-03-2025,08:01,Morning,Ahmedabad,Net Banking,ATM,Shopping,Success,6,96,207,4,1,Yes,Yes,No,87,High
TXN000060,CUST7687,35,Male,84708.56,1,77428.77,19376.26,23-08-2023,15:21,Afternoon,Pune,UPI,POS,Healthcare,Success,8,88,61,1,4,Yes,No,No,59,Medium
TXN000061,CUST7906,51,Female,150846.13,76,24584.87,39817.72,24-10-2023,19:05,Evening,Delhi,Credit Card,ATM,Food,Success,6,89,184,6,3,No,No,Yes,92,Medium
TXN000062,CUST2215,58,Male,308959.11,48,57679.73,45924.39,21-06-2024,18:38,Evening,Chennai,Net Banking,ATM,Fuel,Success,14,24,218,5,5,No,Yes,Yes,42,Medium
TXN000063,CUST9282,61,Other,300468.9,177,68659.57,32398.97,01-05-2024,18:24,Evening,Chennai,Debit Card,POS,Shopping,Success,15,61,96,2,5,No,No,Yes,2,Medium
TXN000064,CUST7558,49,Male,284050.88,26,50483.28,22683.68,18-01-2025,13:43,Afternoon,Hyderabad,Debit Card,ATM,Food,Success,19,6,200,3,0,No,No,Yes,38,Low
TXN000065,CUST1882,27,Female,107696.9,126,58411.62,12360.78,21-11-2025,07:06,Morning,Bangalore,Debit Card,POS,Electronics,Success,13,93,210,2,4,No,Yes,No,89,High
TXN000066,CUST3113,29,Other,91953.18,19,58900.15,3759.01,18-06-2025,14:01,Afternoon,Mumbai,UPI,ATM,Grocery,Success,18,52,68,6,5,No,No,Yes,33,Medium
TXN000067,CUST7625,67,Other,174262.21,100,65833.41,15194.44,14-12-2025,00:16,Morning,Ahmedabad,Credit Card,POS,Grocery,Success,2,30,266,2,2,No,Yes,Yes,59,Medium
TXN000068,CUST3541,64,Female,145602.07,61,80622.37,26334.81,12-10-2025,20:58,Evening,Mumbai,Net Banking,Mobile,Fuel,Success,19,48,182,5,5,Yes,No,No,31,Medium
TXN000069,CUST8176,19,Male,496038.98,67,79647.78,5553.36,24-01-2024,09:27,Morning,Kolkata,Credit Card,POS,Electronics,Success,13,11,204,3,1,No,Yes,Yes,84,Medium
TXN000070,CUST3517,46,Other,415158.82,72,82173.97,3196.97,04-04-2024,06:17,Morning,Mumbai,Net Banking,ATM,Shopping,Success,16,92,144,2,1,No,Yes,Yes,5,Medium
TXN000071,CUST3585,52,Male,387620.27,167,37572.36,33738.81,31-05-2025,22:35,Night,Ahmedabad,UPI,Web,Healthcare,Success,8,13,64,6,0,Yes,Yes,Yes,20,Medium
TXN000072,CUST9721,30,Other,361412.89,108,83495.44,27499.49,17-04-2024,15:57,Afternoon,Ahmedabad,Net Banking,ATM,Grocery,Success,1,28,89,4,2,No,Yes,No,57,Medium
TXN000073,CUST8256,53,Female,479185.66,145,67864.9,40217.25,29-10-2025,15:09,Afternoon,Mumbai,Credit Card,Mobile,Grocery,Success,18,55,205,4,0,Yes,Yes,Yes,46,Medium
TXN000074,CUST6624,37,Female,23244.59,113,68909.77,40067.66,19-01-2026,14:16,Afternoon,Kolkata,Debit Card,POS,Grocery,Success,18,26,185,1,1,No,No,No,18,Low
TXN000075,CUST6675,36,Female,279379,68,88614.5,1313.04,16-10-2023,00:17,Morning,Mumbai,Wallet,ATM,Food,Success,13,31,46,5,2,Yes,Yes,Yes,12,Medium
TXN000076,CUST5242,56,Other,55598.49,170,34102.53,48917.83,09-06-2023,23:49,Night,Hyderabad,UPI,Web,Food,Success,4,18,109,6,1,Yes,Yes,Yes,37,Medium
TXN000077,CUST2301,59,Female,21163.57,56,87851.32,17536.53,26-05-2025,17:11,Evening,Coimbatore,Credit Card,Mobile,Food,Success,14,44,78,4,0,No,No,Yes,27,Medium
TXN000078,CUST4372,49,Male,353341.42,174,87646.79,19563.52,21-05-2024,08:54,Morning,Jaipur,Credit Card,Web,Fuel,Success,3,22,54,3,1,Yes,Yes,Yes,2,Medium
TXN000079,CUST6930,68,Male,200659.52,109,65039.46,7998.82,30-10-2024,21:47,Night,Chennai,Wallet,Mobile,Grocery,Success,11,37,212,4,4,No,No,Yes,98,High
TXN000080,CUST5672,27,Male,148987.08,37,64345.48,19096.79,18-04-2023,22:44,Night,Jaipur,Debit Card,Mobile,Entertainment,Success,5,86,123,1,2,Yes,No,Yes,56,Medium
TXN000081,CUST3988,64,Female,263468.35,116,97787.92,46280.14,12-08-2025,09:43,Morning,Delhi,Wallet,Mobile,Healthcare,Success,15,50,219,3,2,Yes,Yes,Yes,57,Medium
TXN000082,CUST6018,35,Other,415047.08,100,51570.8,7695.07,19-04-2024,04:46,Morning,Delhi,Net Banking,ATM,Grocery,Failed,8,61,224,5,4,Yes,No,No,23,Medium
TXN000083,CUST6445,19,Male,130911.87,20,26086.02,30642.82,18-01-2026,01:31,Morning,Chennai,Credit Card,Web,Grocery,Success,18,52,281,4,0,Yes,Yes,No,72,Medium
TXN000084,CUST8508,35,Male,370602.71,55,29943,3313.23,19-05-2025,19:24,Evening,Hyderabad,Credit Card,POS,Grocery,Failed,13,58,265,1,0,No,Yes,Yes,51,Medium
TXN000085,CUST9744,40,Other,88009.28,139,26069.55,24041,27-12-2023,21:06,Night,Delhi,Credit Card,POS,Grocery,Failed,10,56,273,2,2,No,Yes,No,97,Medium
TXN000086,CUST4367,39,Other,203586.37,42,31976.25,11710.38,15-06-2023,01:04,Morning,Pune,UPI,Web,Shopping,Success,13,65,213,1,3,No,Yes,No,16,Medium
TXN000087,CUST7662,20,Female,207422.75,95,56011.99,32021.47,30-05-2025,01:40,Morning,Coimbatore,Net Banking,POS,Travel,Success,4,61,220,3,4,Yes,Yes,No,27,Medium
TXN000088,CUST4188,27,Male,404012.76,8,94550.47,35332.47,13-10-2025,22:24,Night,Hyderabad,Credit Card,ATM,Shopping,Success,14,5,278,2,1,No,No,Yes,39,Medium
TXN000089,CUST2184,45,Other,21398.02,89,96891.78,19237.83,01-06-2023,08:53,Morning,Mumbai,Debit Card,Mobile,Healthcare,Success,10,80,136,2,0,Yes,Yes,No,87,High
TXN000090,CUST9021,43,Other,177255.48,78,33760.25,39755.23,28-07-2025,16:44,Afternoon,Kolkata,Wallet,Web,Fuel,Success,8,93,57,3,4,Yes,Yes,Yes,25,Medium
TXN000091,CUST1445,56,Female,75578.14,137,11981.91,5877.9,05-07-2023,18:54,Evening,Jaipur,Net Banking,Web,Entertainment,Success,9,93,155,6,4,Yes,Yes,Yes,38,Medium
TXN000092,CUST8925,44,Male,183683.89,5,63404.27,18540.59,23-02-2023,16:37,Afternoon,Kolkata,Wallet,Mobile,Healthcare,Success,13,24,285,6,5,No,No,Yes,58,Medium
TXN000093,CUST6760,67,Female,31736.32,21,61571.24,46855.36,13-02-2024,07:31,Morning,Hyderabad,Debit Card,Mobile,Fuel,Success,1,13,95,1,4,Yes,Yes,Yes,64,High
TXN000094,CUST5847,64,Other,144903.72,72,65374.92,7235.29,19-02-2025,01:51,Morning,Jaipur,Debit Card,Web,Grocery,Success,9,64,16,6,0,Yes,Yes,Yes,20,Medium
TXN000095,CUST4233,33,Female,14971.68,176,29292.2,6777.34,09-11-2024,13:15,Afternoon,Coimbatore,Credit Card,Web,Grocery,Success,3,43,9,6,2,No,Yes,No,82,Medium
TXN000096,CUST1315,52,Male,315247.69,60,44686.38,20854.13,12-09-2024,00:03,Morning,Jaipur,UPI,Mobile,Healthcare,Success,13,96,52,6,4,Yes,Yes,No,14,Medium
TXN000097,CUST3957,62,Other,379163.84,124,29387.7,2874.07,02-03-2025,16:25,Afternoon,Hyderabad,Net Banking,POS,Healthcare,Success,1,34,255,3,3,Yes,No,No,84,Medium
TXN000098,CUST4808,58,Other,216252.72,88,2726.65,30579.76,27-07-2024,05:34,Morning,Bangalore,Credit Card,ATM,Food,Failed,5,8,24,2,5,Yes,No,Yes,54,Medium
TXN000099,CUST6889,59,Male,483437.38,142,97368.47,46081.57,10-02-2025,07:27,Morning,Hyderabad,Debit Card,Mobile,Grocery,Success,2,13,190,2,2,No,Yes,No,33,Medium
TXN000100,CUST3409,23,Male,102227.86,89,93026.74,45562.14,27-03-2023,03:09,Morning,Chennai,Wallet,Web,Shopping,Success,1,48,191,3,4,No,Yes,No,35,Medium
TXN000101,CUST9071,46,Female,366511.79,61,26403.17,42462.08,12-04-2025,16:07,Afternoon,Pune,Credit Card,Web,Grocery,Success,17,74,290,6,2,No,Yes,No,58,Medium
TXN000102,CUST9247,26,Other,9265.11,23,58059.86,14092.49,08-12-2024,23:51,Night,Mumbai,Net Banking,POS,Electronics,Success,18,4,157,4,3,Yes,No,Yes,68,High
TXN000103,CUST8227,55,Male,35653.59,66,32580.05,38438.94,03-04-2024,21:31,Night,Bangalore,Wallet,Web,Fuel,Success,3,44,227,5,3,No,Yes,Yes,99,High
TXN000104,CUST5767,49,Female,288612.9,107,37550.12,47894.74,17-07-2024,01:12,Morning,Coimbatore,Debit Card,Web,Fuel,Success,12,79,92,3,1,No,Yes,No,37,Low
TXN000105,CUST7449,70,Female,344488.9,34,9924.1,30539.11,31-01-2023,19:31,Evening,Chennai,Debit Card,ATM,Grocery,Success,16,69,107,2,2,Yes,No,Yes,42,Low
TXN000106,CUST9772,65,Male,440968.5,70,30016.46,30580.54,02-04-2025,14:10,Afternoon,Mumbai,Net Banking,Web,Shopping,Success,17,43,169,6,4,No,No,Yes,20,Medium
TXN000107,CUST6458,42,Other,426190.48,108,90972.77,8900.31,18-06-2024,22:26,Night,Mumbai,Wallet,Mobile,Entertainment,Success,19,74,258,1,4,Yes,Yes,No,88,High
TXN000108,CUST8411,39,Other,492589.7,89,84835.68,32270.05,01-10-2025,08:59,Morning,Ahmedabad,Net Banking,Web,Fuel,Success,6,95,65,6,1,Yes,Yes,No,94,High
TXN000109,CUST1566,50,Other,433244.97,36,55201.48,7680.79,02-11-2023,22:52,Night,Ahmedabad,Credit Card,ATM,Food,Success,3,57,50,2,2,No,Yes,No,14,Medium
TXN000110,CUST4048,58,Other,11192.86,139,17151.99,15716.58,10-07-2024,09:47,Morning,Kolkata,UPI,Web,Electronics,Success,7,38,164,4,0,Yes,No,No,61,Medium
TXN000111,CUST7247,51,Female,440807.64,38,12178.21,8837.15,20-03-2025,12:47,Afternoon,Pune,Credit Card,Mobile,Healthcare,Success,15,8,68,6,4,Yes,Yes,No,70,Medium
TXN000112,CUST6104,57,Male,481498.79,125,72141.74,26222.26,18-06-2025,02:01,Morning,Ahmedabad,UPI,Web,Electronics,Success,10,70,112,5,3,No,No,No,94,High
TXN000113,CUST8719,41,Male,108106.48,5,54700.42,26657.01,21-04-2026,14:38,Afternoon,Delhi,Net Banking,POS,Grocery,Success,15,73,166,5,4,No,No,No,11,Medium
TXN000114,CUST7238,33,Male,355777.81,135,92922.95,19035.46,17-04-2025,10:58,Morning,Coimbatore,Wallet,ATM,Shopping,Success,18,13,149,4,1,No,No,No,62,Medium
TXN000115,CUST7001,22,Female,359363.49,128,66777.25,7161.28,27-09-2024,20:41,Evening,Chennai,Credit Card,POS,Travel,Success,18,75,291,3,4,Yes,No,Yes,13,Medium
TXN000116,CUST8278,45,Male,432046.12,139,2891.18,7452.39,03-06-2024,18:15,Evening,Hyderabad,Net Banking,ATM,Fuel,Success,17,51,283,1,1,Yes,No,Yes,51,Low
TXN000117,CUST9764,61,Male,164426.05,47,94392.73,7358.81,01-11-2023,13:39,Afternoon,Jaipur,Debit Card,POS,Grocery,Success,2,31,137,5,3,Yes,Yes,No,17,High
TXN000118,CUST2075,39,Other,75227.45,157,82197.75,46151.63,09-05-2025,18:05,Evening,Ahmedabad,Net Banking,Web,Electronics,Success,3,32,77,1,4,Yes,No,Yes,16,Medium
TXN000119,CUST9986,63,Other,167952.26,171,47816.27,25806.37,03-12-2023,07:41,Morning,Kolkata,UPI,Mobile,Healthcare,Success,20,22,44,2,2,Yes,No,Yes,65,Medium
TXN000120,CUST9667,29,Male,118968.73,131,90991.4,6476.13,13-10-2025,16:22,Afternoon,Hyderabad,Wallet,ATM,Grocery,Failed,5,18,217,5,2,No,No,Yes,20,Medium
TXN000121,CUST6123,37,Female,17301.54,150,25941.99,12895.28,08-11-2024,22:23,Night,Hyderabad,Net Banking,ATM,Food,Success,10,3,154,4,5,Yes,Yes,No,79,High
TXN000122,CUST7545,48,Male,279712.85,9,76232.4,12799.96,20-12-2023,02:48,Morning,Chennai,Credit Card,ATM,Grocery,Success,3,47,270,6,4,No,Yes,No,54,High
TXN000123,CUST3264,66,Female,172076.84,9,44253.3,14837.87,24-06-2025,00:38,Morning,Jaipur,Credit Card,ATM,Electronics,Success,10,35,42,5,5,Yes,Yes,No,96,High
TXN000124,CUST4460,25,Male,420796.96,122,87333.92,25450.6,21-10-2023,14:16,Afternoon,Ahmedabad,Debit Card,Web,Travel,Success,8,58,250,6,4,No,No,Yes,93,High
TXN000125,CUST2016,55,Male,253084.87,174,29096.13,38349.21,25-09-2024,04:23,Morning,Kolkata,Credit Card,Web,Food,Success,13,13,247,4,4,No,No,Yes,88,Medium
TXN000126,CUST3003,48,Male,25451.44,31,63368.85,39808.21,13-04-2025,18:00,Evening,Bangalore,Net Banking,ATM,Electronics,Success,2,32,229,5,3,No,No,Yes,93,High
TXN000127,CUST9656,43,Other,376197.75,131,44247.71,41648.03,03-03-2023,13:00,Afternoon,Kolkata,Credit Card,Mobile,Electronics,Success,2,95,113,3,3,Yes,No,No,96,Medium
TXN000128,CUST4733,29,Other,348092.51,92,3601.23,8143.15,14-04-2025,11:44,Morning,Kolkata,Credit Card,Mobile,Healthcare,Success,13,97,153,4,3,No,Yes,Yes,96,Medium
TXN000129,CUST8640,69,Male,83235.85,20,57015.21,5607.92,30-10-2024,01:04,Morning,Hyderabad,Net Banking,POS,Grocery,Success,6,50,24,6,0,Yes,No,Yes,5,Medium
TXN000130,CUST8391,49,Other,290396.72,23,99464.43,5651.81,15-02-2023,08:50,Morning,Delhi,UPI,Web,Electronics,Success,15,55,195,4,1,No,Yes,No,84,High
TXN000131,CUST1686,25,Other,136540.94,72,66838.65,11794.88,28-05-2024,05:04,Morning,Kolkata,UPI,Web,Electronics,Failed,5,94,227,6,5,Yes,No,No,66,High
TXN000132,CUST5840,40,Other,353218.75,90,43759.09,10725.52,01-04-2024,12:05,Afternoon,Delhi,UPI,POS,Travel,Success,20,43,118,4,2,No,No,No,82,Medium
TXN000133,CUST7791,61,Male,172306.8,152,7979.19,42169.08,23-02-2025,10:37,Morning,Pune,Credit Card,POS,Travel,Success,17,34,168,4,0,No,No,Yes,13,Low
TXN000134,CUST1311,18,Other,281492.41,124,91988.31,36820.59,10-06-2023,05:44,Morning,Delhi,Debit Card,Mobile,Fuel,Success,16,57,43,3,3,No,No,Yes,91,Medium
TXN000135,CUST3158,19,Male,423424.36,40,23577.59,20278.52,10-07-2023,02:32,Morning,Bangalore,Net Banking,Mobile,Travel,Success,4,19,103,5,0,No,Yes,Yes,96,Medium
TXN000136,CUST3870,44,Other,451873.73,130,49683.85,19548.11,01-02-2023,00:01,Morning,Pune,Debit Card,Web,Food,Success,8,20,73,6,2,No,No,Yes,16,Low
TXN000137,CUST1324,39,Other,481381.97,57,45904.41,47075.14,25-02-2026,10:25,Morning,Hyderabad,Debit Card,POS,Food,Success,16,92,142,6,5,Yes,No,Yes,80,High
TXN000138,CUST1326,32,Female,88958.36,154,15204.32,20408.24,25-09-2023,23:21,Night,Coimbatore,Debit Card,Mobile,Electronics,Success,1,84,117,1,1,No,Yes,Yes,21,Low
TXN000139,CUST2902,56,Female,97136.51,159,5389.76,31861.97,13-02-2024,09:33,Morning,Chennai,Credit Card,Mobile,Food,Success,2,51,114,5,1,Yes,No,Yes,46,Low
